main tpo 55	op. 19,1	op. 19,2	op. 19,3	op. 19,4	op. 19,5	op. 19,6	rel. stdv. 55	op. 19,1	op. 19,2	op. 19,3	op. 19,4	op. 19,5	op. 19,6		op. 19,2 (eighth note)																						
Uchida 2000	105.03	35.99	26.04	101.67	87.12	18.61	Uchida 2000	31.15	14.51	21.09	40.90	28.46	15.33		71.98	Uchida 2000																					
Groh 2002	100.12	44.15	34.89	102.62	133.61	39.06	Groh 2002	17.55	12.19	12.52	17.10	10.57	21.35		88.30	Groh 2002																					
Dünki 2005	71.79	67.15	38.96	64.88	128.46	50.21	Dünki 2005	24.16	13.24	16.35	14.18	16.83	14.98		134.30	Dünki 2005																					
Serkin 2009	90.65	36.11	39.13	91.17	163.51	33.27	Serkin 2009	18.77	11.28	21.69	13.16	14.72	14.25		72.23	Serkin 2009																					
Boffard 2013	77.91	34.76	32.17	84.12	170.59	41.94	Boffard 2013	21.80	7.66	10.28	19.85	17.52	15.71		69.52	Boffard 2013																					
Skogstad 2018a	85.70	52.33	38.63	84.88	131.89	27.17	Skogstad 2018a	26.33	13.58	9.47	24.58	16.13	11.05		104.66	Skogstad 2018a																					
Skogstad 2018b	96.90	44.14	44.10	84.21	170.40	37.99	Skogstad 2018b	40.75	17.81	23.77	28.22	16.53	15.43		88.28	Skogstad 2018b																					
Skogstad 2018c	93.45	44.16	42.30	87.60	179.57	35.90	Skogstad 2018c	36.89	15.16	22.70	28.42	15.07	16.40		88.31	Skogstad 2018c																					
Skogstad 2018d	97.79	47.48	44.12	90.06	178.65	37.15	Skogstad 2018d	37.48	18.30	19.36	28.08	16.07	15.02		94.96	Skogstad 2018d																					
Körber 2018a	85.08	47.11	35.61	87.36	166.84	39.56	Körber 2018a	29.96	9.50	10.84	17.45	10.25	18.81		94.23	Körber 2018a																					
Körber 2018b	91.43	42.15	36.59	84.26	167.91	38.88	Körber 2018b	30.24	10.07	15.71	22.14	10.64	16.27		84.30	Körber 2018b																					
Körber 2018c	88.55	43.45	38.40	87.99	163.77	36.85	Körber 2018c	27.94	11.10	13.45	17.99	8.83	16.81		86.89	Körber 2018c																					
